state,age_band,weight,share_0_1_conditions,share_2_3,share_4_plus,medicare_mix_only,total_all_payers_annual,hrs_oop_mean,mcbs_scale_factor,medicare_annual,income_factor_low_tertile
C,65-74,183079271.0,0.26079234278795005,0.5551586121402023,0.1840490450718476,8566.207909789531,13185.859951502161,1869.598297074624,1.160424188282869,9940.434860379808,1.1657855956129572
C,75+,125632456.0,0.18321552195079271,0.5722272515312444,0.24455722651796286,10511.7370210613,15810.817351516376,2026.3160718129882,1.1403240992867654,11986.787050481074,1.1657855956129572
D,65-74,22716043.0,0.11159892592208952,0.45821919777137243,0.4301818763065381,10925.288543179759,16367.582700008035,2420.5371293170897,1.160424188282869,12677.969089475499,1.1657855956129572
D,75+,29620693.0,0.09711798437666533,0.4820374391645732,0.42084457645876144,11935.387006350375,17761.246205013806,2878.406949646773,1.1403240992867654,13610.209437655454,1.1657855956129572
H,65-74,22164414.0,1.0,0.0,0.0,4418.041950661604,7263.575035976331,1227.3280338599095,1.160424188282869,5126.802744396155,1.1657855956129572
H,75+,7497871.0,1.0,0.0,0.0,5976.16724037024,9718.20082076224,1199.6992053366343,1.1403240992867654,6814.767525562268,1.1657855956129572
L,65-74,7501728.0,0.06472708687918304,0.37331705441732893,0.5619558587034881,12062.924566814172,17884.701339355426,2879.288077002864,1.160424188282869,13998.109448762814,1.1657855956129572
L,75+,13835932.0,0.06915537023454582,0.39600895696798744,0.5348356727974668,12754.200648969214,18887.853426674832,3759.3722622905548,1.1403240992867654,14543.922367158497,1.1657855956129572
N,65-74,2215231.0,0.048688376065520934,0.3821809102527005,0.5691307136817786,12176.096117769523,18043.43869814281,10399.493619129915,1.160424188282869,14129.436453916891,1.1657855956129572
N,75+,9303108.0,0.09456538610537468,0.39079069059501403,0.5146439232996113,12534.044619105598,18588.9377418235,18331.218834317464,1.1403240992867654,14292.873140701719,1.1657855956129572
